Wikipedia_movie_ID,title,Movie_genres,Movie_year_released,averageRating,numVotes,e_count,i_count,extro_proportion,number of characters,extroverted_bin,treatment,Propensity_score
11213660,the natural,"['Baseball', 'Drama', 'Sports', 'Americana', 'Period piece', 'Film adaptation']",-0.6142992777772674,7.4,-0.3649123423555269,1,4,0.2,5,"(0.158, 0.211]",0,0.6371633865060513
396607,the lord of the rings,"['Drama', 'Sword and sorcery films', 'Fantasy Adventure', 'Fantasy', 'Family Film', 'Animation']",-0.9779670962810295,6.2,-0.42950527540191813,13,25,0.34210526315789475,38,"(0.316, 0.368]",0,0.6436424846631587
3447166,little shop of horrors,"['Comedy', 'Romance Film', 'Horror', 'Musical', 'Parody', 'Science Fiction', 'Black comedy']",-0.4930766716093468,7.1,-0.23685072035057705,2,1,0.6666666666666666,3,"(0.632, 0.684]",1,0.6339869772724203
89793,out of africa,"['Adventure', 'Romance Film', 'British Empire Film', 'Drama', 'Biopic [feature]', 'Period piece', 'Biography', 'Biographical film', 'Film adaptation', 'Romantic drama']",-0.5536879746933071,7.1,-0.23530586746065302,2,1,0.6666666666666666,3,"(0.632, 0.684]",1,0.6349583028127532
68124,american graffiti,"['Comedy', 'Romance Film', 'Drama', 'Coming of age', 'Ensemble Film', 'Americana', 'Period piece', 'New Hollywood', 'Teen', 'Comedy-drama']",-1.2810236117008313,7.4,-0.18889738598878744,2,0,1.0,2,"(0.947, 1.0]",1,0.6462674847899013
6584119,carrie,"['Romantic drama', 'Romance Film', 'Drama']",-2.5538609764639983,7.3,-0.5571069793709363,8,2,0.8,10,"(0.789, 0.842]",1,0.6697226746653955
3182907,the basketball diaries,"['Addiction Drama', 'Drama', 'Biopic [feature]', 'Sports', 'Coming of age', 'Indie', 'Biography', 'Teen', 'Crime Fiction', 'Film adaptation']",0.0524250561462963,7.3,-0.10255465385855468,3,2,0.6,5,"(0.579, 0.632]",1,0.6237824183687267
13950959,shutter island,"['Mystery', 'Horror', 'Thriller', 'Psychological thriller', 'Drama', 'Period piece', 'Crime Fiction', 'Crime Thriller', 'Film adaptation']",0.9615946024057015,8.2,4.958705749250081,2,5,0.2857142857142857,7,"(0.263, 0.316]",0,0.5587000837880562
1474328,serendipity,"['Comedy', 'Romance Film', 'Romantic comedy', 'Fantasy']",0.41609287465005834,6.8,-0.10171736717775616,2,0,1.0,2,"(0.947, 1.0]",1,0.6177698796060758
3681345,maurice,"['Romance Film', 'Gay', 'Drama', 'Indie', 'Period piece', 'Gay Interest', 'LGBT', 'Film adaptation', 'Romantic drama', 'Gay Themed']",-0.4324653685253865,7.6,-0.47867326508937325,1,1,0.5,2,"(0.474, 0.526]",1,0.6352832372810616
129331,moonstruck,"['Comedy', 'Romance Film', 'Romantic comedy', 'Drama', 'Romantic drama']",-0.4324653685253865,7.1,-0.3114871626431666,3,2,0.6,5,"(0.579, 0.632]",1,0.6337053132723081
701781,rob roy,"['Costume drama', 'Romance Film', 'Action', 'History', 'Action/Adventure', 'Drama', 'Period piece', 'War film', 'Swashbuckler films', 'Biographical film']",0.0524250561462963,6.8,-0.567323449246032,0,3,0.0,3,,0,0.6282108011905682
113464,hannah and her sisters,"['Comedy', 'Romance Film', 'Romantic comedy', 'Drama', 'Ensemble Film', 'Indie', 'Comedy-drama', 'Romantic drama']",-0.4930766716093468,7.8,-0.27337686043498965,2,3,0.4,5,"(0.368, 0.421]",0,0.6343318498105845
27731736,red riding hood,"['Mystery', 'Horror', 'Romance Film', 'Thriller', 'Drama', 'Fantasy', 'Supernatural', 'Romantic drama']",1.0222059054896617,6.2,-0.5672094524678951,0,1,0.0,1,,0,0.6121897804247234
473086,king kong,"['Monster movie', 'Romance Film', 'Action/Adventure', 'Thriller', 'Drama', 'Action', 'Adventure', 'Remake', 'World cinema']",0.6585380869858998,7.9,-0.2165907412292832,5,4,0.5555555555555556,9,"(0.526, 0.579]",1,0.6148543279929038
1438595,body double,"['Crime Thriller', 'Erotic thriller', 'Thriller', 'Psychological thriller']",-0.6142992777772674,6.8,-0.42256326470572003,1,3,0.25,4,"(0.211, 0.263]",0,0.6377056280220897
68388,the general,"['Comedy', 'Romance Film', 'Action', 'War film']",-4.129754856646968,8.1,-0.1899194260686354,1,1,0.5,2,"(0.474, 0.526]",1,0.6905125436478179
2236329,the parent trap,"['Comedy', 'Romance Film', 'Drama', 'Family Film', 'Adventure']",0.23425896539817734,7.2,-0.47594127333747194,2,3,0.4,5,"(0.368, 0.421]",0,0.6243554309667
